"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0002967","polyunsaturated fatty acid",324,37,37.9,"0.6371","1.0000"
"LION:0002977","fatty acid with 3-5 double bonds",161,18,18.83,"0.6422","1.0000"
"LION:0002928","C20:3",37,4,4.33,"0.6497","1.0000"
"LION:0080982","above average lateral diffusion",74,8,8.66,"0.6606","1.0000"
"LION:0002955","fatty acid with 16 carbons",201,22,23.51,"0.7012","1.0000"
"LION:0000013","glycerophosphoserines [GP03]",40,4,4.68,"0.7122","1.0000"
"LION:0080969","low bilayer thickness",50,5,5.85,"0.7211","1.0000"
"LION:0002935","C22:4",31,3,3.63,"0.7266","1.0000"
"LION:0022234","C17:1",51,5,5.97,"0.7381","1.0000"
"LION:0002933","C22:2",11,1,1.29,"0.7485","1.0000"
"LION:0002958","fatty acids with 19 carbons",22,2,2.57,"0.7518","1.0000"
"LION:0001741","below average transition temperature",100,10,11.7,"0.7682","1.0000"
"LION:0002939","C24:1",12,1,1.4,"0.7785","1.0000"
"LION:0002923","C18:2",92,9,10.76,"0.7831","1.0000"
"LION:0002970","fatty acid with 2 double bonds",156,16,18.25,"0.7834","1.0000"
"LION:0002927","C20:2",34,3,3.98,"0.7846","1.0000"
"LION:0000465","neutral intrinsic curvature",245,26,28.66,"0.7892","1.0000"
"LION:0002932","C22:1",24,2,2.81,"0.7947","1.0000"
"LION:0080979","high lateral diffusion",56,5,6.55,"0.8120","1.0000"
"LION:0002900","C16:1",96,9,11.23,"0.8264","1.0000"
"LION:0002968","saturated fatty acid",361,39,42.23,"0.8269","1.0000"
"LION:0002947","fatty acid with 13-15 carbons",27,2,3.16,"0.8470","1.0000"
"LION:0001739","very high transition temperature",15,1,1.75,"0.8488","1.0000"
"LION:0001736","low transition temperature",73,6,8.54,"0.8846","1.0000"
"LION:0002957","fatty acid with 18 carbons",328,34,38.37,"0.8878","1.0000"
"LION:0002961","fatty acid with 22 carbons",125,11,14.62,"0.9036","1.0000"
"LION:0000467","contains ether-bond",227,22,26.56,"0.9060","1.0000"
"LION:0002969","monounsaturated fatty acid",353,36,41.3,"0.9269","1.0000"
"LION:0002921","C18:0",121,10,14.16,"0.9334","1.0000"
"LION:0000100","fatty acid with 18 carbons or less",567,63,66.33,"0.9449","1.0000"
"LION:0002948","fatty acid with 16-18 carbons",561,62,65.63,"0.9501","1.0000"
"LION:0000053","diacylglycerophosphoserines [GP0301]",38,2,4.45,"0.9516","1.0000"
"LION:0080978","average lateral diffusion",75,5,8.77,"0.9575","1.0000"
"LION:0080970","average bilayer thickness",86,6,10.06,"0.9577","1.0000"
"LION:0002945","fatty acid with more than 18 carbons",407,40,47.61,"0.9819","1.0000"
"LION:0080976","very low lateral diffusion",47,2,5.5,"0.9823","1.0000"
"LION:0002966","fatty acid with less than 2 double bonds",564,61,65.98,"0.9853","1.0000"
"LION:0000038","diacylglycerophosphoethanolamines [GP0201]",76,4,8.89,"0.9871","1.0000"
"LION:0002950","fatty acid with 22-24 carbons",166,12,19.42,"0.9898","1.0000"
"LION:0002963","fatty acid with 24 carbons",36,1,4.21,"0.9901","1.0000"
"LION:0001738","high transition temperature",73,3,8.54,"0.9955","1.0000"
"LION:0001740","above average transition temperature",88,4,10.29,"0.9963","1.0000"
"LION:0080971","high bilayer thickness",66,2,7.72,"0.9982","1.0000"
"LION:0000030","diacylglycerophosphocholines [GP0101]",121,6,14.16,"0.9985","1.0000"
"LION:0012081","mitochondrion",260,19,30.42,"0.9990","1.0000"
"LION:0012080","endoplasmic reticulum (ER)",475,45,55.57,"0.9990","1.0000"
"LION:0080972","very high bilayer thickness",57,1,6.67,"0.9994","1.0000"
"LION:0001737","average transition temperature",76,2,8.89,"0.9995","1.0000"
"LION:0000003","glycerophospholipids [GP]",542,54,63.41,"0.9996","1.0000"
"LION:0012010","membrane component",542,54,63.41,"0.9996","1.0000"
"LION:0080977","low lateral diffusion",85,2,9.94,"0.9998","1.0000"
"LION:0000095","headgroup with positive charge / zwitter-ion",439,37,51.36,"1.0000","1.0000"
"LION:0000011","glycerophosphoethanolamines [GP02]",227,12,26.56,"1.0000","1.0000"
"LION:0080974","above average bilayer thickness",118,3,13.8,"1.0000","1.0000"
"LION:0000039","1-alkyl,2-acylglycerophosphoethanolamines [GP0202]",141,4,16.5,"1.0000","1.0000"
"LION:0080981","below average lateral diffusion",127,3,14.86,"1.0000","1.0000"
"LION:0000464","negative intrinsic curvature",223,10,26.09,"1.0000","1.0000"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",4,0,0.47,"1.0000","1.0000"
"LION:0000159","PC(32:0)",3,0,0.35,"1.0000","1.0000"
"LION:0000163","PC(O-34:3)",4,0,0.47,"1.0000","1.0000"
"LION:0000170","PC(34:2)",3,0,0.35,"1.0000","1.0000"
"LION:0000176","PC(O-36:2)",7,0,0.82,"1.0000","1.0000"
"LION:0000180","PC(36:4)",4,0,0.47,"1.0000","1.0000"
"LION:0000182","PC(36:2)",4,0,0.47,"1.0000","1.0000"
"LION:0000183","PC(36:1)",3,0,0.35,"1.0000","1.0000"
"LION:0000191","PC(38:6)",3,0,0.35,"1.0000","1.0000"
"LION:0000192","PC(38:5)",3,0,0.35,"1.0000","1.0000"
"LION:0000193","PC(38:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000194","PC(38:3)",3,0,0.35,"1.0000","1.0000"
"LION:0000195","PC(38:2)",5,0,0.58,"1.0000","1.0000"
"LION:0000196","PC(38:1)",4,0,0.47,"1.0000","1.0000"
"LION:0000197","PC(38:0)",3,0,0.35,"1.0000","1.0000"
"LION:0000204","PC(40:5)",3,0,0.35,"1.0000","1.0000"
"LION:0000205","PC(40:4)",4,0,0.47,"1.0000","1.0000"
"LION:0000207","PC(40:2)",5,0,0.58,"1.0000","1.0000"
"LION:0000217","PC(42:2)",4,0,0.47,"1.0000","1.0000"
"LION:0000259","C14:0",16,0,1.87,"1.0000","1.0000"
"LION:0000266","PG(36:2)",4,0,0.47,"1.0000","1.0000"
"LION:0000298","PI(36:2)",3,0,0.35,"1.0000","1.0000"
"LION:0000326","PE(O-34:3)",3,0,0.35,"1.0000","1.0000"
"LION:0000327","PE(O-34:2)",5,0,0.58,"1.0000","1.0000"
"LION:0000336","PE(O-36:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000337","PE(O-36:3)",5,0,0.58,"1.0000","1.0000"
"LION:0000341","PE(36:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000343","PE(36:2)",5,0,0.58,"1.0000","1.0000"
"LION:0000346","PE(O-38:6)",4,0,0.47,"1.0000","1.0000"
"LION:0000347","PE(O-38:5)",5,0,0.58,"1.0000","1.0000"
"LION:0000348","PE(O-38:4)",5,0,0.58,"1.0000","1.0000"
"LION:0000351","PE(38:5)",4,0,0.47,"1.0000","1.0000"
"LION:0000352","PE(38:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000353","PE(38:3)",3,0,0.35,"1.0000","1.0000"
"LION:0000354","PE(38:2)",5,0,0.58,"1.0000","1.0000"
"LION:0000355","PE(38:1)",4,0,0.47,"1.0000","1.0000"
"LION:0000357","PE(O-40:6)",4,0,0.47,"1.0000","1.0000"
"LION:0000358","PE(O-40:5)",4,0,0.47,"1.0000","1.0000"
"LION:0000359","PE(O-40:4)",5,0,0.58,"1.0000","1.0000"
"LION:0000367","PS(34:1)",3,0,0.35,"1.0000","1.0000"
"LION:0000370","PS(36:2)",3,0,0.35,"1.0000","1.0000"
"LION:0000375","PS(38:2)",3,0,0.35,"1.0000","1.0000"
"LION:0000504","PG(36:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000506","PS(38:1)",4,0,0.47,"1.0000","1.0000"
"LION:0000509","PG(38:4)",3,0,0.35,"1.0000","1.0000"
"LION:0000512","PC(40:1)",6,0,0.7,"1.0000","1.0000"
"LION:0000528","PG(34:2)",3,0,0.35,"1.0000","1.0000"
"LION:0001282","PE(40:1)",3,0,0.35,"1.0000","1.0000"
"LION:0001285","PE(40:4)",3,0,0.35,"1.0000","1.0000"
"LION:0001286","PE(40:5)",3,0,0.35,"1.0000","1.0000"
"LION:0001322","PC(O-34:0)",3,0,0.35,"1.0000","1.0000"
"LION:0001325","PC(O-36:1)",5,0,0.58,"1.0000","1.0000"
"LION:0001350","PE(O-32:1)",3,0,0.35,"1.0000","1.0000"
"LION:0001359","PE(O-36:2)",4,0,0.47,"1.0000","1.0000"
"LION:0001360","PE(O-36:1)",3,0,0.35,"1.0000","1.0000"
"LION:0001363","PE(O-38:3)",4,0,0.47,"1.0000","1.0000"
"LION:0001364","PE(O-38:2)",5,0,0.58,"1.0000","1.0000"
"LION:0001365","PE(O-38:1)",4,0,0.47,"1.0000","1.0000"
"LION:0001372","PE(O-40:1)",3,0,0.35,"1.0000","1.0000"
"LION:0001374","PE(O-40:3)",3,0,0.35,"1.0000","1.0000"
"LION:0002930","C20:5",8,0,0.94,"1.0000","1.0000"
"LION:0002931","C22:0",14,0,1.64,"1.0000","1.0000"
"LION:0002934","C22:3",3,0,0.35,"1.0000","1.0000"
"LION:0002936","C22:5",11,0,1.29,"1.0000","1.0000"
"LION:0002938","C24:0",7,0,0.82,"1.0000","1.0000"
"LION:0002940","C24:2",4,0,0.47,"1.0000","1.0000"
"LION:0002942","C24:4",6,0,0.7,"1.0000","1.0000"
"LION:0002943","C24:5",3,0,0.35,"1.0000","1.0000"
"LION:0002953","fatty acid with 14 carbons",17,0,1.99,"1.0000","1.0000"
"LION:0002960","fatty acid with 21 carbons",13,0,1.52,"1.0000","1.0000"
"LION:0002962","fatty acid with 23 carbons",7,0,0.82,"1.0000","1.0000"
"LION:0002973","fatty acid with 5 double bonds",22,0,2.57,"1.0000","1.0000"
"LION:0022242","C19:1",15,0,1.75,"1.0000","1.0000"
"LION:0022261","C21:0",7,0,0.82,"1.0000","1.0000"
"LION:0022262","C21:1",5,0,0.58,"1.0000","1.0000"
"LION:0022266","C23:0",3,0,0.35,"1.0000","1.0000"
"LION:0022267","C23:1",4,0,0.47,"1.0000","1.0000"
"LION:0041241","PC(33:1)",3,0,0.35,"1.0000","1.0000"
"LION:0041261","PC(35:1)",4,0,0.47,"1.0000","1.0000"
"LION:0041276","PC(37:1)",3,0,0.35,"1.0000","1.0000"
"LION:0041277","PC(37:2)",3,0,0.35,"1.0000","1.0000"
"LION:0052726","PC(O-33:1)",3,0,0.35,"1.0000","1.0000"
"LION:0052771","PC(O-37:2)",3,0,0.35,"1.0000","1.0000"
"LION:0058044","PE(37:1)",3,0,0.35,"1.0000","1.0000"
"LION:0071613","PE(O-35:2)",6,0,0.7,"1.0000","1.0000"
"LION:0071614","PE(O-35:3)",3,0,0.35,"1.0000","1.0000"
"LION:0071619","PE(O-37:2)",5,0,0.58,"1.0000","1.0000"
"LION:0071620","PE(O-37:3)",5,0,0.58,"1.0000","1.0000"
"LION:0071629","PE(O-39:1)",3,0,0.35,"1.0000","1.0000"
"LION:0071630","PE(O-39:2)",4,0,0.47,"1.0000","1.0000"
"LION:0071651","PE(O-39:5)",3,0,0.35,"1.0000","1.0000"
